Time;%RH;°C
24.9.2020 11:14;-4.9;15.66
24.9.2020 11:29;-9.4;16.54
24.9.2020 11:44;113.1;17.13
24.9.2020 11:59;105.3;17.42
24.9.2020 12:14;95.5;17.42
24.9.2020 12:29;92.1;18.02
24.9.2020 12:44;88.2;18.62
24.9.2020 12:59;86.2;18.93
24.9.2020 13:14;84.7;18.93
24.9.2020 13:29;84.2;19.54
24.9.2020 13:44;83.7;19.23
24.9.2020 13:59;83.7;19.54
24.9.2020 14:14;81.3;19.23
24.9.2020 14:29;78.3;19.85
24.9.2020 14:44;74.8;20.16
24.9.2020 14:59;78.3;20.16
24.9.2020 15:14;78.8;19.23
24.9.2020 15:29;78.3;19.23
24.9.2020 15:44;78.8;19.54
24.9.2020 15:59;80.3;18.93
24.9.2020 16:14;83.2;18.93
24.9.2020 16:29;83.7;18.62
24.9.2020 16:44;84.2;18.32
24.9.2020 16:59;87.7;18.02
24.9.2020 17:14;88.6;18.02
24.9.2020 17:29;90.6;17.42
24.9.2020 17:44;91.1;17.13
24.9.2020 17:59;94.0;17.13
24.9.2020 18:14;96.5;16.24
24.9.2020 18:29;98.0;16.24
24.9.2020 18:44;98.5;16.24
24.9.2020 18:59;99.4;15.95
24.9.2020 19:14;99.4;15.95
24.9.2020 19:29;100.4;15.38
24.9.2020 19:44;102.4;15.66
24.9.2020 19:59;101.4;15.38
24.9.2020 20:14;101.9;15.09
24.9.2020 20:29;100.9;14.80
24.9.2020 20:44;100.4;14.80
24.9.2020 20:59;99.9;14.52
24.9.2020 21:14;99.9;14.52
24.9.2020 21:29;100.9;13.95
24.9.2020 21:44;100.9;13.95
24.9.2020 21:59;101.9;13.95
24.9.2020 22:14;100.4;14.24
24.9.2020 22:29;100.9;13.67
24.9.2020 22:44;101.4;13.67
24.9.2020 22:59;99.9;13.67
24.9.2020 23:14;99.4;13.39
24.9.2020 23:29;99.9;13.11
24.9.2020 23:44;98.9;13.11
24.9.2020 23:59;99.9;12.84
25.9.2020 0:14;99.4;12.84
25.9.2020 0:29;99.9;12.84
25.9.2020 0:44;99.9;12.84
25.9.2020 0:59;102.4;12.56
25.9.2020 1:14;102.9;12.56
25.9.2020 1:29;104.3;12.56
25.9.2020 1:44;107.3;12.28
25.9.2020 1:59;106.8;12.28
25.9.2020 2:14;109.7;12.01
25.9.2020 2:29;110.7;12.28
25.9.2020 2:44;111.2;11.73
25.9.2020 2:59;112.1;12.28
25.9.2020 3:14;113.1;12.01
25.9.2020 3:29;-12.5;11.73
25.9.2020 3:44;-11.5;11.73
25.9.2020 3:59;-9.4;12.28
25.9.2020 4:14;-8.4;12.28
25.9.2020 4:29;-9.4;12.28
25.9.2020 4:44;-7.9;12.28
25.9.2020 4:59;-6.9;12.56
25.9.2020 5:14;-5.9;12.56
25.9.2020 5:29;-5.9;12.56
25.9.2020 5:44;-6.9;12.01
25.9.2020 5:59;-7.4;12.01
25.9.2020 6:14;-6.9;12.01
25.9.2020 6:29;-5.9;12.56
25.9.2020 6:44;-5.4;12.01
25.9.2020 6:59;-5.4;12.28
25.9.2020 7:14;-7.4;12.84
25.9.2020 7:29;-9.9;12.84
25.9.2020 7:44;-7.4;12.84
25.9.2020 7:59;-7.4;13.11
25.9.2020 8:14;-5.9;13.11
25.9.2020 8:29;-5.9;13.39
25.9.2020 8:44;-6.9;13.39
25.9.2020 8:59;-7.4;13.67
25.9.2020 9:14;-8.4;13.39
25.9.2020 9:29;-9.9;13.95
25.9.2020 9:44;-11.0;13.95
25.9.2020 9:59;-12.0;13.95
25.9.2020 10:14;112.6;14.80
25.9.2020 10:29;110.7;14.80
25.9.2020 10:44;106.3;15.09
25.9.2020 10:59;103.8;15.66
25.9.2020 11:14;99.9;15.38
25.9.2020 11:29;97.5;15.95
25.9.2020 11:44;97.5;15.66
25.9.2020 11:59;93.6;16.24
25.9.2020 12:14;90.6;16.54
25.9.2020 12:29;89.6;16.24
25.9.2020 12:44;88.2;16.54
25.9.2020 12:59;86.7;16.83
25.9.2020 13:14;85.7;16.24
25.9.2020 13:29;87.7;16.24
25.9.2020 13:44;87.7;15.95
25.9.2020 13:59;88.6;16.24
25.9.2020 14:14;86.7;15.95
25.9.2020 14:29;83.7;15.66
25.9.2020 14:44;81.7;16.54
25.9.2020 14:59;81.3;16.24
25.9.2020 15:14;81.7;16.54
25.9.2020 15:29;83.7;16.54
25.9.2020 15:44;83.7;15.95
25.9.2020 15:59;86.2;16.54
25.9.2020 16:14;88.2;15.95
25.9.2020 16:29;90.6;15.66
25.9.2020 16:44;92.1;15.95
25.9.2020 16:59;93.6;15.66
25.9.2020 17:14;95.0;15.66
25.9.2020 17:29;98.0;15.09
25.9.2020 17:44;96.0;15.95
25.9.2020 17:59;93.1;15.38
25.9.2020 18:14;93.1;15.66
25.9.2020 18:29;93.6;14.80
25.9.2020 18:44;94.0;15.09
25.9.2020 18:59;93.1;14.80
25.9.2020 19:14;92.6;14.80
25.9.2020 19:29;94.0;14.80
25.9.2020 19:44;94.5;14.52
25.9.2020 19:59;95.0;14.80
25.9.2020 20:14;95.5;14.24
25.9.2020 20:29;95.5;14.52
25.9.2020 20:44;95.5;13.95
25.9.2020 20:59;96.5;13.95
25.9.2020 21:14;97.5;13.95
25.9.2020 21:29;97.5;13.39
25.9.2020 21:44;98.0;13.39
25.9.2020 21:59;98.0;13.11
25.9.2020 22:14;98.5;12.84
25.9.2020 22:29;98.5;12.84
25.9.2020 22:44;98.0;12.56
25.9.2020 22:59;98.5;12.84
25.9.2020 23:14;98.5;12.56
25.9.2020 23:29;99.4;12.56
25.9.2020 23:44;99.4;12.28
25.9.2020 23:59;99.4;12.01
26.9.2020 0:14;100.9;12.01
26.9.2020 0:29;99.9;11.73
26.9.2020 0:44;99.9;11.73
26.9.2020 0:59;99.4;11.73
26.9.2020 1:14;100.4;11.46
26.9.2020 1:29;100.9;11.46
26.9.2020 1:44;101.4;11.46
26.9.2020 1:59;102.4;10.92
26.9.2020 2:14;102.9;10.92
26.9.2020 2:29;103.4;10.92
26.9.2020 2:44;103.4;10.92
26.9.2020 2:59;103.8;11.19
26.9.2020 3:14;104.3;10.92
26.9.2020 3:29;104.8;10.65
26.9.2020 3:44;104.8;10.65
26.9.2020 3:59;104.8;10.65
26.9.2020 4:14;104.3;10.92
26.9.2020 4:29;104.3;10.92
26.9.2020 4:44;104.8;10.65
26.9.2020 4:59;104.8;10.38
26.9.2020 5:14;105.8;10.38
26.9.2020 5:29;105.8;10.11
26.9.2020 5:44;106.3;10.38
26.9.2020 5:59;106.8;10.38
26.9.2020 6:14;107.3;10.38
26.9.2020 6:29;107.8;10.38
26.9.2020 6:44;108.2;10.38
26.9.2020 6:59;107.8;10.38
26.9.2020 7:14;107.3;10.38
26.9.2020 7:29;106.8;10.65
26.9.2020 7:44;105.8;10.92
26.9.2020 7:59;104.8;10.92
26.9.2020 8:14;104.3;10.92
26.9.2020 8:29;100.4;11.73
26.9.2020 8:44;98.0;11.73
26.9.2020 8:59;96.0;12.56
26.9.2020 9:14;95.0;12.56
26.9.2020 9:29;93.6;12.84
26.9.2020 9:44;91.6;13.67
26.9.2020 9:59;90.6;13.95
26.9.2020 10:14;90.1;14.24
26.9.2020 10:29;89.1;14.80
26.9.2020 10:44;88.2;14.80
26.9.2020 10:59;87.2;15.09
26.9.2020 11:14;86.2;15.38
26.9.2020 11:29;85.7;15.66
26.9.2020 11:44;83.2;16.24
26.9.2020 11:59;84.2;16.54
26.9.2020 12:14;80.8;16.83
26.9.2020 12:29;79.3;17.13
26.9.2020 12:44;78.8;17.42
26.9.2020 12:59;78.8;17.42
26.9.2020 13:14;76.8;17.72
26.9.2020 13:29;75.8;18.02
26.9.2020 13:44;74.3;18.02
26.9.2020 13:59;73.8;18.62
26.9.2020 14:14;73.8;18.93
26.9.2020 14:29;74.8;18.32
26.9.2020 14:44;73.8;18.93
26.9.2020 14:59;74.3;19.23
26.9.2020 15:14;74.3;19.23
26.9.2020 15:29;73.4;19.23
26.9.2020 15:44;75.3;19.23
26.9.2020 15:59;76.8;18.93
26.9.2020 16:14;78.8;18.93
26.9.2020 16:29;81.3;18.62
26.9.2020 16:44;81.7;18.32
26.9.2020 16:59;83.7;18.32
26.9.2020 17:14;85.7;18.02
26.9.2020 17:29;86.2;17.72
26.9.2020 17:44;86.2;17.13
26.9.2020 17:59;85.7;17.13
26.9.2020 18:14;86.2;16.54
26.9.2020 18:29;86.2;16.24
26.9.2020 18:44;86.2;16.54
26.9.2020 18:59;86.7;16.54
26.9.2020 19:14;86.2;16.24
26.9.2020 19:29;86.2;15.95
26.9.2020 19:44;86.2;15.95
26.9.2020 19:59;86.2;15.66
26.9.2020 20:14;88.2;15.66
26.9.2020 20:29;92.6;15.66
26.9.2020 20:44;94.0;15.09
26.9.2020 20:59;93.1;15.38
26.9.2020 21:14;91.1;15.38
26.9.2020 21:29;91.6;15.38
26.9.2020 21:44;92.6;15.09
26.9.2020 21:59;92.6;14.80
26.9.2020 22:14;92.1;14.52
26.9.2020 22:29;92.6;14.52
26.9.2020 22:44;93.1;14.52
26.9.2020 22:59;93.1;14.80
26.9.2020 23:14;94.0;14.52
26.9.2020 23:29;95.5;13.95
26.9.2020 23:44;95.0;13.95
26.9.2020 23:59;96.0;13.67
27.9.2020 0:14;97.5;13.95
27.9.2020 0:29;97.0;13.95
27.9.2020 0:44;97.5;13.11
27.9.2020 0:59;97.5;13.67
27.9.2020 1:14;97.5;13.39
27.9.2020 1:29;98.9;13.11
27.9.2020 1:44;98.9;13.11
27.9.2020 1:59;98.9;12.56
27.9.2020 2:14;98.9;13.11
27.9.2020 2:29;99.4;12.84
27.9.2020 2:44;99.9;12.84
27.9.2020 2:59;100.4;12.28
27.9.2020 3:14;100.4;12.56
27.9.2020 3:29;100.9;12.28
27.9.2020 3:44;101.4;12.01
27.9.2020 3:59;102.4;12.28
27.9.2020 4:14;102.4;12.28
27.9.2020 4:29;102.4;12.28
27.9.2020 4:44;102.9;12.28
27.9.2020 4:59;103.8;12.01
27.9.2020 5:14;104.3;11.73
27.9.2020 5:29;104.3;12.01
27.9.2020 5:44;104.8;11.73
27.9.2020 5:59;105.8;12.01
27.9.2020 6:14;106.3;11.73
27.9.2020 6:29;106.8;11.73
27.9.2020 6:44;106.3;11.73
27.9.2020 6:59;106.8;11.73
27.9.2020 7:14;107.8;12.01
27.9.2020 7:29;107.8;12.01
27.9.2020 7:44;107.3;11.73
27.9.2020 7:59;106.3;11.73
27.9.2020 8:14;104.8;12.28
27.9.2020 8:29;102.4;12.84
27.9.2020 8:44;98.0;13.11
27.9.2020 8:59;96.5;13.11
27.9.2020 9:14;94.5;13.67
27.9.2020 9:29;93.1;14.24
27.9.2020 9:44;90.6;14.52
27.9.2020 9:59;88.2;14.80
27.9.2020 10:14;86.2;14.80
27.9.2020 10:29;86.7;15.66
27.9.2020 10:44;85.2;15.66
27.9.2020 10:59;83.2;16.24
27.9.2020 11:14;80.8;16.54
27.9.2020 11:29;78.3;16.54
27.9.2020 11:44;74.8;16.83
27.9.2020 11:59;74.3;17.13
27.9.2020 12:14;71.9;17.42
27.9.2020 12:29;70.9;18.02
27.9.2020 12:44;69.4;17.72
27.9.2020 12:59;68.9;18.32
27.9.2020 13:14;66.4;18.32
27.9.2020 13:29;66.9;18.93
27.9.2020 13:44;66.9;18.62
27.9.2020 13:59;66.9;18.93
27.9.2020 14:14;64.9;18.93
27.9.2020 14:29;67.4;19.23
27.9.2020 14:44;65.9;19.23
27.9.2020 14:59;64.9;19.23
27.9.2020 15:14;66.4;19.23
27.9.2020 15:29;65.4;19.23
27.9.2020 15:44;66.9;18.93
27.9.2020 15:59;67.4;18.93
27.9.2020 16:14;70.9;18.32
27.9.2020 16:29;72.4;17.72
27.9.2020 16:44;72.4;17.72
27.9.2020 16:59;73.4;17.13
27.9.2020 17:14;76.3;17.13
27.9.2020 17:29;76.8;16.54
27.9.2020 17:44;77.3;16.24
27.9.2020 17:59;78.3;15.66
27.9.2020 18:14;78.3;15.66
27.9.2020 18:29;79.3;15.38
27.9.2020 18:44;80.8;15.09
27.9.2020 18:59;81.7;14.52
27.9.2020 19:14;84.2;14.24
27.9.2020 19:29;86.2;13.95
27.9.2020 19:44;88.2;13.67
27.9.2020 19:59;88.2;13.67
27.9.2020 20:14;89.1;13.39
27.9.2020 20:29;90.6;13.11
27.9.2020 20:44;93.6;12.84
27.9.2020 20:59;94.0;13.11
27.9.2020 21:14;95.5;13.11
27.9.2020 21:29;96.0;12.56
27.9.2020 21:44;97.5;12.28
27.9.2020 21:59;97.5;12.56
27.9.2020 22:14;98.5;12.56
27.9.2020 22:29;99.9;12.28
27.9.2020 22:44;100.4;12.01
27.9.2020 22:59;100.9;12.28
27.9.2020 23:14;100.9;12.28
27.9.2020 23:29;102.9;12.01
27.9.2020 23:44;102.9;12.01
27.9.2020 23:59;103.4;11.73
28.9.2020 0:14;103.8;12.01
28.9.2020 0:29;103.8;12.01
28.9.2020 0:44;103.8;12.01
28.9.2020 0:59;102.9;12.01
28.9.2020 1:14;102.4;12.01
28.9.2020 1:29;101.4;11.73
28.9.2020 1:44;101.4;11.46
28.9.2020 1:59;100.4;11.46
28.9.2020 2:14;100.4;11.46
28.9.2020 2:29;100.4;11.19
28.9.2020 2:44;100.4;11.46
28.9.2020 2:59;99.9;11.19
28.9.2020 3:14;98.5;11.46
28.9.2020 3:29;99.9;11.19
28.9.2020 3:44;100.4;11.19
28.9.2020 3:59;100.4;10.65
28.9.2020 4:14;100.4;10.92
28.9.2020 4:29;101.4;10.92
28.9.2020 4:44;101.4;10.92
28.9.2020 4:59;101.4;10.38
28.9.2020 5:14;100.9;10.65
28.9.2020 5:29;99.9;10.38
28.9.2020 5:44;99.9;10.38
28.9.2020 5:59;99.4;10.11
28.9.2020 6:14;99.9;10.38
28.9.2020 6:29;100.9;10.38
28.9.2020 6:44;101.4;10.11
28.9.2020 6:59;101.9;10.11
28.9.2020 7:14;102.4;10.11
28.9.2020 7:29;102.4;10.11
28.9.2020 7:44;101.4;10.11
28.9.2020 7:59;99.4;10.38
28.9.2020 8:14;97.0;10.38
28.9.2020 8:29;93.1;10.38
28.9.2020 8:44;90.6;10.92
28.9.2020 8:59;89.6;11.46
28.9.2020 9:14;87.2;11.46
28.9.2020 9:29;87.7;12.01
28.9.2020 9:44;86.2;12.28
28.9.2020 9:59;83.7;12.28
28.9.2020 10:14;82.7;12.56
28.9.2020 10:29;81.3;13.11
28.9.2020 10:44;79.3;13.39
28.9.2020 10:59;74.3;13.67
28.9.2020 11:14;72.9;13.95
28.9.2020 11:29;71.9;14.24
28.9.2020 11:44;71.9;14.52
28.9.2020 11:59;69.4;14.80
28.9.2020 12:14;67.4;15.09
28.9.2020 12:29;66.9;15.38
28.9.2020 12:44;67.4;15.09
28.9.2020 12:59;64.4;15.09
28.9.2020 13:14;65.9;15.66
28.9.2020 13:29;64.4;15.95
28.9.2020 13:44;62.5;15.95
28.9.2020 13:59;63.5;15.66
28.9.2020 14:14;64.4;16.24
28.9.2020 14:29;63.0;16.24
28.9.2020 14:44;62.5;16.24
28.9.2020 14:59;64.9;16.24
28.9.2020 15:14;65.4;16.24
28.9.2020 15:29;65.4;16.24
28.9.2020 15:44;65.9;15.95
28.9.2020 15:59;71.4;15.66
28.9.2020 16:14;71.4;15.95
28.9.2020 16:29;74.8;15.95
28.9.2020 16:44;73.4;15.66
28.9.2020 16:59;71.9;15.66
28.9.2020 17:14;73.4;15.66
28.9.2020 17:29;74.3;15.09
28.9.2020 17:44;76.3;15.09
28.9.2020 17:59;77.3;14.24
28.9.2020 18:14;76.8;13.95
28.9.2020 18:29;77.8;13.95
28.9.2020 18:44;77.8;13.67
28.9.2020 18:59;78.8;13.39
28.9.2020 19:14;78.8;13.11
28.9.2020 19:29;78.8;13.11
28.9.2020 19:44;80.8;12.28
28.9.2020 19:59;81.7;12.28
28.9.2020 20:14;83.2;12.28
28.9.2020 20:29;83.7;12.01
28.9.2020 20:44;84.2;12.01
28.9.2020 20:59;85.7;12.01
28.9.2020 21:14;86.2;11.73
28.9.2020 21:29;87.2;11.46
28.9.2020 21:44;87.2;11.19
28.9.2020 21:59;88.2;10.92
28.9.2020 22:14;88.2;11.19
28.9.2020 22:29;89.1;11.19
28.9.2020 22:44;89.1;10.65
28.9.2020 22:59;90.6;10.65
28.9.2020 23:14;90.6;10.38
28.9.2020 23:29;91.1;10.11
28.9.2020 23:44;93.6;10.11
28.9.2020 23:59;93.1;10.11
29.9.2020 0:14;95.0;10.11
29.9.2020 0:29;94.0;9.84
29.9.2020 0:44;95.0;9.84
29.9.2020 0:59;95.0;9.31
29.9.2020 1:14;96.5;9.05
29.9.2020 1:29;96.5;9.05
29.9.2020 1:44;98.9;9.05
29.9.2020 1:59;98.0;9.31
29.9.2020 2:14;99.9;9.31
29.9.2020 2:29;97.5;9.05
29.9.2020 2:44;100.9;9.05
29.9.2020 2:59;102.9;8.78
29.9.2020 3:14;104.3;8.52
29.9.2020 3:29;99.9;8.78
29.9.2020 3:44;103.4;8.78
29.9.2020 3:59;106.3;9.05
29.9.2020 4:14;107.3;9.05
29.9.2020 4:29;108.7;9.05
29.9.2020 4:44;108.2;9.05
29.9.2020 4:59;109.2;9.31
29.9.2020 5:14;108.2;9.31
29.9.2020 5:29;108.7;9.31
29.9.2020 5:44;109.2;9.31
29.9.2020 5:59;110.2;9.58
29.9.2020 6:14;109.7;9.58
29.9.2020 6:29;109.2;9.58
29.9.2020 6:44;108.7;9.58
29.9.2020 6:59;107.8;9.58
29.9.2020 7:14;108.2;9.58
29.9.2020 7:29;107.8;9.58
29.9.2020 7:44;108.2;9.58
29.9.2020 7:59;108.2;9.58
29.9.2020 8:14;109.2;10.11
29.9.2020 8:29;108.2;9.58
29.9.2020 8:44;108.7;9.84
29.9.2020 8:59;108.7;10.11
29.9.2020 9:14;108.2;10.11
29.9.2020 9:29;108.2;9.84
29.9.2020 9:44;107.8;10.38
29.9.2020 9:59;107.3;10.11
29.9.2020 10:14;108.2;10.38
29.9.2020 10:29;108.7;10.38
29.9.2020 10:44;109.2;10.92
29.9.2020 10:59;108.7;10.65
29.9.2020 11:14;108.7;11.19
29.9.2020 11:29;108.2;11.19
29.9.2020 11:44;106.8;11.73
29.9.2020 11:59;105.8;11.73
29.9.2020 12:14;104.3;11.73
29.9.2020 12:29;102.9;11.73
29.9.2020 12:44;101.9;12.28
29.9.2020 12:59;98.9;12.28
29.9.2020 13:14;98.5;12.28
29.9.2020 13:29;98.5;12.56
29.9.2020 13:44;99.9;12.56
29.9.2020 13:59;99.4;12.56
29.9.2020 14:14;98.0;12.84
29.9.2020 14:29;94.5;13.11
29.9.2020 14:44;92.6;13.11
29.9.2020 14:59;93.1;13.67
29.9.2020 15:14;93.1;13.11
29.9.2020 15:29;92.6;13.11
29.9.2020 15:44;93.6;13.11
29.9.2020 15:59;95.5;13.39
29.9.2020 16:14;95.0;13.11
29.9.2020 16:29;95.5;12.84
29.9.2020 16:44;97.0;12.84
29.9.2020 16:59;98.5;13.11
29.9.2020 17:14;98.9;12.84
29.9.2020 17:29;99.4;12.56
29.9.2020 17:44;100.9;12.28
29.9.2020 17:59;103.4;12.56
29.9.2020 18:14;104.8;12.01
29.9.2020 18:29;104.3;12.01
29.9.2020 18:44;102.9;12.56
29.9.2020 18:59;102.9;12.28
29.9.2020 19:14;103.4;12.28
29.9.2020 19:29;103.8;12.01
29.9.2020 19:44;104.3;11.73
29.9.2020 19:59;104.3;12.01
29.9.2020 20:14;104.8;11.73
29.9.2020 20:29;105.3;12.01
29.9.2020 20:44;106.8;11.73
29.9.2020 20:59;106.3;12.28
29.9.2020 21:14;107.8;12.01
29.9.2020 21:29;108.2;12.01
29.9.2020 21:44;109.2;12.01
29.9.2020 21:59;109.2;12.01
29.9.2020 22:14;109.7;11.73
29.9.2020 22:29;110.7;11.46
29.9.2020 22:44;110.7;11.73
29.9.2020 22:59;110.7;11.73
29.9.2020 23:14;110.7;11.19
29.9.2020 23:29;111.2;11.73
29.9.2020 23:44;111.2;11.46
29.9.2020 23:59;112.1;11.46
30.9.2020 0:14;113.1;11.19
30.9.2020 0:29;-13.0;11.46
30.9.2020 0:44;-13.5;11.19
30.9.2020 0:59;-12.5;11.46
30.9.2020 1:14;-12.0;11.19
30.9.2020 1:29;-12.5;10.92
30.9.2020 1:44;-12.0;11.46
30.9.2020 1:59;-12.0;11.46
30.9.2020 2:14;-12.0;10.92
30.9.2020 2:29;-12.0;11.19
30.9.2020 2:44;-12.0;11.19
30.9.2020 2:59;-11.5;11.19
30.9.2020 3:14;-11.0;11.19
30.9.2020 3:29;-11.0;11.19
30.9.2020 3:44;-11.0;11.19
30.9.2020 3:59;-9.9;10.92
30.9.2020 4:14;-9.9;10.92
30.9.2020 4:29;-9.4;11.19
30.9.2020 4:44;-9.4;10.65
30.9.2020 4:59;-9.9;11.19
30.9.2020 5:14;-9.4;10.65
30.9.2020 5:29;-8.4;10.65
30.9.2020 5:44;-8.9;10.65
30.9.2020 5:59;-8.4;10.92
30.9.2020 6:14;-8.4;10.65
30.9.2020 6:29;-9.4;10.92
30.9.2020 6:44;-10.5;10.65
30.9.2020 6:59;-10.5;10.92
30.9.2020 7:14;-11.0;10.92
30.9.2020 7:29;-10.5;11.19
30.9.2020 7:44;-9.9;10.92
30.9.2020 7:59;-10.5;10.92
30.9.2020 8:14;-9.9;11.19
30.9.2020 8:29;-10.5;11.19
30.9.2020 8:44;-11.0;11.19
30.9.2020 8:59;-12.0;11.46
30.9.2020 9:14;-13.5;11.19
30.9.2020 9:29;113.1;11.73
30.9.2020 9:44;112.1;12.01
30.9.2020 9:59;111.7;12.01
30.9.2020 10:14;109.2;11.73
30.9.2020 10:29;109.2;12.28
30.9.2020 10:44;108.2;11.73
30.9.2020 10:59;107.3;12.28
30.9.2020 11:14;105.3;12.28
30.9.2020 11:29;104.3;12.28
30.9.2020 11:44;101.4;12.56
30.9.2020 11:59;100.9;12.84
30.9.2020 12:14;97.0;12.56
30.9.2020 12:29;95.0;12.56
30.9.2020 12:44;91.6;13.11
30.9.2020 12:59;89.6;12.84
30.9.2020 13:14;90.1;13.11
30.9.2020 13:29;90.6;12.84
30.9.2020 13:44;90.1;13.11
30.9.2020 13:59;88.2;12.84
30.9.2020 14:14;86.2;13.11
30.9.2020 14:29;88.2;13.67
30.9.2020 14:44;87.7;13.95
30.9.2020 14:59;86.7;13.95
30.9.2020 15:14;86.7;13.95
30.9.2020 15:29;85.7;13.39
30.9.2020 15:44;88.2;13.67
30.9.2020 15:59;90.6;13.67
30.9.2020 16:14;92.6;13.39
30.9.2020 16:29;93.1;13.39
30.9.2020 16:44;94.0;13.39
30.9.2020 16:59;95.5;13.11
30.9.2020 17:14;96.5;12.84
30.9.2020 17:29;98.0;12.84
30.9.2020 17:44;98.0;12.84
30.9.2020 17:59;96.0;13.11
30.9.2020 18:14;94.0;13.11
30.9.2020 18:29;95.0;13.11
30.9.2020 18:44;95.0;12.56
30.9.2020 18:59;93.1;12.56
30.9.2020 19:14;93.1;12.56
30.9.2020 19:29;92.1;12.28
30.9.2020 19:44;91.1;12.01
30.9.2020 19:59;91.6;12.01
30.9.2020 20:14;92.1;12.28
30.9.2020 20:29;93.1;12.01
30.9.2020 20:44;93.1;12.01
30.9.2020 20:59;95.5;11.73
30.9.2020 21:14;96.5;11.73
30.9.2020 21:29;97.5;11.46
30.9.2020 21:44;98.5;11.73
30.9.2020 21:59;99.9;11.46
30.9.2020 22:14;100.4;11.19
30.9.2020 22:29;100.9;11.46
30.9.2020 22:44;102.9;10.92
30.9.2020 22:59;103.4;10.65
30.9.2020 23:14;104.3;10.65
30.9.2020 23:29;105.3;10.92
30.9.2020 23:44;105.3;10.65
30.9.2020 23:59;105.3;10.65
1.10.2020 0:14;105.3;10.65
1.10.2020 0:29;106.8;10.65
1.10.2020 0:44;108.2;10.11
1.10.2020 0:59;106.8;10.65
1.10.2020 1:14;106.3;10.38
1.10.2020 1:29;109.7;10.11
1.10.2020 1:44;111.7;10.38
1.10.2020 1:59;112.6;10.11
1.10.2020 2:14;113.1;10.11
1.10.2020 2:29;-12.5;10.11
1.10.2020 2:44;-12.0;10.11
1.10.2020 2:59;-12.0;10.11
1.10.2020 3:14;-12.5;10.11
1.10.2020 3:29;-13.0;9.84
1.10.2020 3:44;-13.5;9.58
1.10.2020 3:59;105.3;9.84
1.10.2020 4:14;103.4;9.31
1.10.2020 4:29;105.3;9.58
1.10.2020 4:44;107.3;9.31
1.10.2020 4:59;110.2;9.05
1.10.2020 5:14;110.7;9.05
1.10.2020 5:29;113.1;9.31
1.10.2020 5:44;-9.4;9.05
1.10.2020 5:59;-5.9;9.31
